,0
2021-04-13,0.02048865867970734
2021-04-14,-0.02045142785905982
2021-04-15,0.056779121578746455
2021-04-16,-0.010360196641866068
2021-04-19,-0.012659767698957668
2021-04-20,-0.022685242261704684
2021-04-21,0.029519364196509287
2021-04-22,-0.031246170629212172
2021-04-23,0.0467998986658272
2021-04-26,0.03202030153449404
2021-04-27,-0.0023416455005435695
2021-04-28,-0.013965497007561752
2021-04-29,-0.0013092115651502532
2021-04-30,-0.023273931147830624
2021-05-03,-0.03358654491686034
2021-05-04,-0.009099333060820409
2021-05-05,-0.004105378248430174
2021-05-06,0.008981025885955963
2021-05-07,0.005197691832154816
2021-05-10,-0.0254494130258449
2021-05-11,-0.010491640620617118
2021-05-12,-0.027751957692620427
2021-05-13,0.006036187483680191
2021-05-14,0.022703231462384448
2021-05-17,-0.0005263487737812665
2021-05-18,-0.008420673402835555
2021-05-19,0.002442220256991459
2021-05-20,0.0211262194340716
2021-05-21,-0.005833215913001524
2021-05-24,0.023432726255714617
2021-05-25,0.0016960831606760449
2021-05-26,0.009246257418902254
2021-05-27,-0.0091021509636866
2021-05-28,0.010880158907451353
2021-06-01,0.005164098232220483
2021-06-02,0.01098278454340745
2021-06-03,-0.015379794992994522
2021-06-04,0.01790490872149413
2021-06-07,-0.0010275281179131274
2021-06-08,0.006142521849664826
2021-06-09,0.0006476666673029775
2021-06-10,-0.003141639106155464
2021-06-11,0.007788380595017849
2021-06-14,0.02114560213218581
2021-06-15,-0.008162260504921512
2021-06-16,0.00134147692679141
2021-06-17,0.031472218338310404
2021-06-18,-0.0037740021234451485
2021-06-21,-0.00818846504267242
2021-06-22,0.011936588596027285
2021-06-23,0.007348072301372751
2021-06-24,0.024739963054959003
2021-06-25,-0.004868720595324088
2021-06-28,0.012708494785094582
2021-06-29,0.013723729542679324
2021-06-30,0.010622517436591986
2021-07-01,0.0066253179147942156
2021-07-02,0.018514074858918615
2021-07-06,0.008172841615364843
2021-07-07,0.0023618528017765503
2021-07-08,-0.006922796040028345
2021-07-09,0.00307717317550533
2021-07-12,0.007636533455707032
2021-07-13,0.0032972335406572734
2021-07-14,0.008305692223507221
2021-07-15,-0.006177956803901939
2021-07-16,0.003309965624484429
2021-07-19,-0.014678523681053534
2021-07-20,0.01366518924140044
2021-07-21,0.01113047369278028
2021-07-22,0.004737312007778918
2021-07-23,0.020484429169548093
2021-07-26,0.013565761359787418
2021-07-27,-0.01656808928155724
2021-07-28,0.017308027762794054
2021-07-29,0.029781596855015517
2021-07-30,0.008024953593682542
2021-08-02,0.010370789017928365
2021-08-03,0.012386559738239235
2021-08-04,0.0029351861540682137
2021-08-05,0.00036755361681922337
2021-08-06,-0.008725555471235057
2021-08-09,0.0026361020567613716
2021-08-10,-0.0037291496711272147
2021-08-11,-0.0008929997778356207
2021-08-12,0.016687928392961363
2021-08-13,-0.0005328605997316938
2021-08-16,0.0010196697357266705
2021-08-17,-0.014037581493948221
2021-08-18,-0.016313380343603214
2021-08-19,-0.00034649058167484325
2021-08-20,0.00992321324396437
2021-08-23,0.02140322071424299
2021-08-24,0.00593012011722439
2021-08-25,-0.0011858765089658519
2021-08-26,-0.004148348638014828
2021-08-27,0.011770813777923887
2021-08-30,0.0273277866296124
2021-08-31,-0.0035826173930347473
2021-09-01,0.0019049782219134042
2021-09-02,0.0035474603628626073
2021-09-03,0.00542414333347487
2021-09-07,0.0004295856582539658
2021-09-08,-0.02440304403246177
2021-09-09,-0.0016107503534894545
2021-09-10,-0.015612588819469444
2021-09-13,-0.001245710086191707
2021-09-14,0.0021795212238817654
2021-09-15,0.0010992527076203091
2021-09-16,0.002849871293550378
2021-09-17,-0.02084608087284988
2021-09-20,-0.01983767238730434
2021-09-21,0.006149967529279965
2021-09-22,0.011046091804813465
2021-09-23,0.007694549511222698
2021-09-24,0.006884730463967526
2021-09-27,0.002122907344472194
2021-09-28,-0.03579743852099122
2021-09-29,-0.008025785929317441
2021-09-30,-0.0001756719591287796
2021-10-01,0.0016989203026011642
2021-10-04,-0.013059568380906616
2021-10-05,0.011048500831176254
2021-10-06,0.014818233844069632
2021-10-07,0.02491807140177783
2021-10-08,-0.010837440940362212
2021-10-11,0.0004894658762344655
2021-10-12,-0.00011825012421602318
2021-10-13,0.005362807169760224
2021-10-14,0.018166052566472468
2021-10-15,0.011347012770932492
2021-10-18,0.013638576948419127
2021-10-19,0.01466244296526438
2021-10-20,0.0033611182997565396
2021-10-21,0.0014739372062224877
2021-10-22,-0.007706298656693981
2021-10-25,0.000172379987423151
2021-10-26,0.005570679866905414
2021-10-27,0.0306536812578667
2021-10-28,0.011610911094301207
2021-10-29,0.0027990071957106144
2021-11-01,-0.0196789360178364
2021-11-02,0.009974557442910061
2021-11-03,0.012066342361081062
2021-11-04,0.01738973459494166
2021-11-05,0.006521028693770586
2021-11-08,-0.0049602406411731565
2021-11-09,0.00725150698990806
2021-11-10,-0.020298741600073195
2021-11-11,-0.0007585952038693161
2021-11-12,0.014443813655733908
2021-11-15,0.0007551030980818974
2021-11-16,0.0063020495834886885
2021-11-17,0.016490066225165693
2021-11-18,0.028536060991588015
2021-11-19,0.015281502486536104
2021-11-22,-0.004724292387684497
2021-11-23,-0.0005367617752064311
2021-11-24,0.0003681729975703724
2021-11-26,-0.027042423065195876
2021-11-29,0.023499757530439737
2021-11-30,-0.01605156065426531
2021-12-01,-0.006141773581233316
2021-12-02,0.009780568252962155
2021-12-03,-0.009529744659815048
2021-12-06,0.012523311123501198
2021-12-07,0.031177036295977893
2021-12-08,0.008710815626884787
